Samples	libraryid	librarySOP	sequencer	PDACgDNAfraction
0.0001PDAC-N12878-01	0.0001PDAC-N12878-01	iLib	NovaSeq6000	0.0001
0.0001PDAC-N12878-02	0.0001PDAC-N12878-02	iLib	NovaSeq6000	0.0001
0.0001PDAC-N12878-03	0.0001PDAC-N12878-03	iLib	NovaSeq6000	0.0001
0.0001PDAC-N12878-04	0.0001PDAC-N12878-04	iLib	NovaSeq6000	0.0001
0.0001PDAC-N12878-T-01	0.0001PDAC-N12878-01	mLib	NovaSeq6000	0.0001
0.0001PDAC-N12878-T-02	0.0001PDAC-N12878-02	mLib	NovaSeq6000	0.0001
0.0001PDAC-N12878-T-03	0.0001PDAC-N12878-03	mLib	NovaSeq6000	0.0001
0.0001PDAC-N12878-T-04	0.0001PDAC-N12878-04	mLib	NovaSeq6000	0.0001
0.0005PDAC-N12878-01	0.0005PDAC-N12878-01	iLib	NovaSeq6000	0.0005
0.0005PDAC-N12878-02	0.0005PDAC-N12878-02	iLib	NovaSeq6000	0.0005
0.0005PDAC-N12878-03	0.0005PDAC-N12878-03	iLib	NovaSeq6000	0.0005
0.0005PDAC-N12878-04	0.0005PDAC-N12878-04	iLib	NovaSeq6000	0.0005
0.0005PDAC-N12878-T-01	0.0005PDAC-N12878-01	mLib	NovaSeq6000	0.0005
0.0005PDAC-N12878-T-02	0.0005PDAC-N12878-02	mLib	NovaSeq6000	0.0005
0.0005PDAC-N12878-T-03	0.0005PDAC-N12878-03	mLib	NovaSeq6000	0.0005
0.0005PDAC-N12878-T-04	0.0005PDAC-N12878-04	mLib	NovaSeq6000	0.0005
0.001PDAC-N12878-01	0.001PDAC-N12878-01	iLib	NovaSeq6000	0.001
0.001PDAC-N12878-02	0.001PDAC-N12878-02	iLib	NovaSeq6000	0.001
0.001PDAC-N12878-03	0.001PDAC-N12878-03	iLib	NovaSeq6000	0.001
0.001PDAC-N12878-04	0.001PDAC-N12878-04	iLib	NovaSeq6000	0.001
0.001PDAC-N12878-T-01	0.001PDAC-N12878-01	mLib	NovaSeq6000	0.001
0.001PDAC-N12878-T-02	0.001PDAC-N12878-02	mLib	NovaSeq6000	0.001
0.001PDAC-N12878-T-03	0.001PDAC-N12878-03	mLib	NovaSeq6000	0.001
0.001PDAC-N12878-T-04	0.001PDAC-N12878-04	mLib	NovaSeq6000	0.001
0.005PDAC-N12878-01	0.005PDAC-N12878-01	iLib	NovaSeq6000	0.005
0.005PDAC-N12878-02	0.005PDAC-N12878-02	iLib	NovaSeq6000	0.005
0.005PDAC-N12878-03	0.005PDAC-N12878-03	iLib	NovaSeq6000	0.005
0.005PDAC-N12878-04	0.005PDAC-N12878-04	iLib	NovaSeq6000	0.005
0.005PDAC-N12878-T-01	0.005PDAC-N12878-01	mLib	NovaSeq6000	0.005
0.005PDAC-N12878-T-02	0.005PDAC-N12878-02	mLib	NovaSeq6000	0.005
