Samples	hyperM_fraction_hypoM	Pct_balance_lib
V350060903_L01_33-M	5%	50%
V350060903_L01_34-M	5%	50%
V350060903_L01_35-M	5%	50%
V350060903_L01_36-M	5%	50%
V350060903_L01_37-M	5%	50%
V350060903_L01_38-M	2%	50%
V350060903_L01_39-M	2%	50%
V350060903_L01_40-M	2%	50%
V350060903_L01_41-M	2%	50%
V350060903_L01_42-M	2%	50%
V350060903_L01_43-M	1%	50%
V350060903_L01_44-M	1%	50%
V350060903_L01_45-M	1%	50%
V350060903_L01_46-M	1%	50%
V350060903_L01_47-M	1%	50%
V350060903_L01_48-M	0.20%	50%
V350060903_L01_49-M	0.20%	50%
V350060903_L01_50-M	0.20%	50%
V350060903_L01_51-M	0.20%	50%
V350060903_L01_52-M	0.20%	50%
V350060903_L01_53-M	0%	50%
V350060903_L01_54-M	0%	50%
V350060903_L01_55-M	0%	50%
V350060903_L01_56-M	0%	50%
V350060903_L02_33-M	5%	30%
V350060903_L02_34-M	5%	30%
V350060903_L02_35-M	5%	30%
V350060903_L02_36-M	5%	30%
V350060903_L02_37-M	5%	30%
V350060903_L02_38-M	2%	30%
V350060903_L02_39-M	2%	30%
V350060903_L02_40-M	2%	30%
V350060903_L02_41-M	2%	30%
V350060903_L02_42-M	2%	30%
V350060903_L02_43-M	1%	30%
V350060903_L02_44-M	1%	30%
V350060903_L02_45-M	1%	30%
V350060903_L02_46-M	1%	30%
V350060903_L02_47-M	1%	30%
V350060903_L02_48-M	0.20%	30%
V350060903_L02_49-M	0.20%	30%
V350060903_L02_50-M	0.20%	30%
V350060903_L02_51-M	0.20%	30%
V350060903_L02_52-M	0.20%	30%
V350060903_L02_53-M	0%	30%
V350060903_L02_54-M	0%	30%
V350060903_L02_55-M	0%	30%
V350060903_L02_56-M	0%	30%
V350060903_L03_33-M	5%	10%
V350060903_L03_34-M	5%	10%
V350060903_L03_35-M	5%	10%
V350060903_L03_36-M	5%	10%
V350060903_L03_37-M	5%	10%
V350060903_L03_38-M	2%	10%
V350060903_L03_39-M	2%	10%
V350060903_L03_40-M	2%	10%
V350060903_L03_41-M	2%	10%
V350060903_L03_42-M	2%	10%
V350060903_L03_43-M	1%	10%
V350060903_L03_44-M	1%	10%
V350060903_L03_45-M	1%	10%
V350060903_L03_46-M	1%	10%
V350060903_L03_47-M	1%	10%
V350060903_L03_48-M	0.20%	10%
V350060903_L03_49-M	0.20%	10%
V350060903_L03_50-M	0.20%	10%
V350060903_L03_51-M	0.20%	10%
V350060903_L03_52-M	0.20%	10%
V350060903_L03_53-M	0%	10%
V350060903_L03_54-M	0%	10%
V350060903_L03_55-M	0%	10%
V350060903_L03_56-M	0%	10%
V350060903_L04_33-M	5%	0%
V350060903_L04_34-M	5%	0%
V350060903_L04_35-M	5%	0%
V350060903_L04_36-M	5%	0%
V350060903_L04_37-M	5%	0%
V350060903_L04_38-M	2%	0%
V350060903_L04_39-M	2%	0%
V350060903_L04_40-M	2%	0%
V350060903_L04_41-M	2%	0%
V350060903_L04_42-M	2%	0%
V350060903_L04_43-M	1%	0%
V350060903_L04_44-M	1%	0%
V350060903_L04_45-M	1%	0%
V350060903_L04_46-M	1%	0%
V350060903_L04_47-M	1%	0%
V350060903_L04_48-M	0.20%	0%
V350060903_L04_49-M	0.20%	0%
V350060903_L04_50-M	0.20%	0%
V350060903_L04_51-M	0.20%	0%
V350060903_L04_52-M	0.20%	0%
V350060903_L04_53-M	0%	0%
V350060903_L04_54-M	0%	0%
V350060903_L04_55-M	0%	0%
V350060903_L04_56-M	0%	0%
